iso,1,48,0,0,1,0
org,1.3,48,0,0,1,0
dod,1.3.6,48,0,0,1,0
internet,1.3.6.1,48,0,0,1,0
mgmt,1.3.6.1.2,48,0,0,1,0
mib-2,1.3.6.1.2.1,48,0,0,1,0
system,1.3.6.1.2.1.1,48,0,0,1,0
sysDescr,1.3.6.1.2.1.1.1,4,1,0,1,0
sysObjectID,1.3.6.1.2.1.1.2,6,1,0,1,0
sysUpTime,1.3.6.1.2.1.1.3,67,1,0,1,0
sysContact,1.3.6.1.2.1.1.4,4,1,1,1,0
sysName,1.3.6.1.2.1.1.5,4,1,1,1,0
sysLocation,1.3.6.1.2.1.1.6,4,1,1,1,0
sysServices,1.3.6.1.2.1.1.7,2,1,0,1,0
interfaces,1.3.6.1.2.1.2,48,0,0,1,0
ifNumber,1.3.6.1.2.1.2.1,2,1,0,1,0
ifTable,1.3.6.1.2.1.2.2,48,0,0,1,0
ifEntry,1.3.6.1.2.1.2.2.1,48,0,0,1,0
ifIndex,1.3.6.1.2.1.2.2.1.1,2,1,0,1,1
ifDescr,1.3.6.1.2.1.2.2.1.2,4,1,0,1,0
ifType,1.3.6.1.2.1.2.2.1.3,2,1,0,1,0
ifMtu,1.3.6.1.2.1.2.2.1.4,2,1,0,1,0
ifSpeed,1.3.6.1.2.1.2.2.1.5,66,1,0,1,0
ifPhyAddress,1.3.6.1.2.1.2.2.1.6,4,1,0,1,0
ifAdminStatus,1.3.6.1.2.1.2.2.1.7,2,1,1,1,0
ifOperStatus,1.3.6.1.2.1.2.2.1.8,2,1,0,1,0
ifLastChange,1.3.6.1.2.1.2.2.1.9,67,1,0,1,0
ifInOctets,1.3.6.1.2.1.2.2.1.10,65,1,0,1,0
ifInUcastPkts,1.3.6.1.2.1.2.2.1.11,65,1,0,1,0
ifInNUcastPkts,1.3.6.1.2.1.2.2.1.12,65,1,0,1,0
ifInDiscards,1.3.6.1.2.1.2.2.1.13,65,1,0,1,0
ifInErrors,1.3.6.1.2.1.2.2.1.14,65,1,0,1,0
ifInUnknownProtos,1.3.6.1.2.1.2.2.1.15,65,1,0,1,0
ifOutOctets,1.3.6.1.2.1.2.2.1.16,65,1,0,1,0
ifOutUcastPkts,1.3.6.1.2.1.2.2.1.17,65,1,0,1,0
ifOutNUcastPkts,1.3.6.1.2.1.2.2.1.18,65,1,0,1,0
ifOutDiscards,1.3.6.1.2.1.2.2.1.19,65,1,0,1,0
ifOutErrors,1.3.6.1.2.1.2.2.1.20,65,1,0,1,0
ifOutQLen,1.3.6.1.2.1.2.2.1.21,66,1,0,1,0
ifSpecific,1.3.6.1.2.1.2.2.1.22,6,1,0,1,0
at,1.3.6.1.2.1.3.2,48,0,0,1,0
atTable,1.3.6.1.2.1.3.1,48,0,0,1,0
atEntry,1.3.6.1.2.1.3.1.1,48,0,0,1,0
atIfIndex,1.3.6.1.2.1.3.1.1.1,2,1,1,0,1
atPhysAddress,1.3.6.1.2.1.3.1.1.2,4,1,1,0,0
atNetAddress,1.3.6.1.2.1.3.1.1.3,64,1,1,0,1
ip,1.3.6.1.2.1.4.1,48,0,0,1,0
ipForwarding,1.3.6.1.2.1.4.1,2,1,1,1,0
ipDefaultTtl,1.3.6.1.2.1.4.2,2,1,1,1,0
ipInReceives,1.3.6.1.2.1.4.3,65,1,0,1,0
ipInHdrErrors,1.3.6.1.2.1.4.4,65,1,0,1,0
ipInAddrErrors,1.3.6.1.2.1.4.5,65,1,0,1,0
ipForwDatagrams,1.3.6.1.2.1.4.6,65,1,0,1,0
ipInUnknownProtos,1.3.6.1.2.1.4.7,65,1,0,1,0
ipInDiscards,1.3.6.1.2.1.4.8,65,1,0,1,0
ipInDelivers,1.3.6.1.2.1.4.9,65,1,0,1,0
ipOutRequests,1.3.6.1.2.1.4.10,65,1,0,1,0
ipOutDiscards,1.3.6.1.2.1.4.11,65,1,0,1,0
ipOutNoRoutes,1.3.6.1.2.1.4.12,65,1,0,1,0
ipReasmTimeout,1.3.6.1.2.1.4.13,2,1,0,1,0
ipReasmReqds,1.3.6.1.2.1.4.14,65,1,0,1,0
ipReasmOKs,1.3.6.1.2.1.4.15,65,1,0,1,0
ipReasmFails,1.3.6.1.2.1.4.16,65,1,0,1,0
ipFragOKs,1.3.6.1.2.1.4.17,65,1,0,1,0
ipFragFails,1.3.6.1.2.1.4.18,65,1,0,1,0
ipFragCreates,1.3.6.1.2.1.4.19,65,1,0,1,0
ipAddrTable,1.3.6.1.2.1.4.20,48,0,0,1,0
ipAddrEntry,1.3.6.1.2.1.4.20.1,48,0,0,1,0
ipAdEntAddr,1.3.6.1.2.1.4.20.1.1,64,1,0,1,1
ipAdEntIfIndex,1.3.6.1.2.1.4.20.1.2,2,1,0,1,0
ipAdEntNetMask,1.3.6.1.2.1.4.20.1.3,64,1,0,1,0
ipAdEntBcastAddr,1.3.6.1.2.1.4.20.1.4,2,1,0,1,0
ipAdEntReasmMaxSize,1.3.6.1.2.1.4.20.1.5,2,1,0,1,0
ipRouteTable,1.3.6.1.2.1.4.21,48,0,0,1,0
ipRouteEntry,1.3.6.1.2.1.4.21.1,48,0,0,1,0
ipRouteDest,1.3.6.1.2.1.4.21.1.1,64,1,1,1,1
ipRouteIfIndex,1.3.6.1.2.1.4.21.1.2,2,1,1,1,0
ipRouteMetric1,1.3.6.1.2.1.4.21.1.3,2,1,1,1,0
ipRouteMetric2,1.3.6.1.2.1.4.21.1.4,2,1,1,1,0
ipRouteMetric3,1.3.6.1.2.1.4.21.1.5,2,1,1,1,0
ipRouteMetric4,1.3.6.1.2.1.4.21.1.6,2,1,1,1,0
ipRouteNextHop,1.3.6.1.2.1.4.21.1.7,64,1,1,1,0
ipRouteType,1.3.6.1.2.1.4.21.1.8,2,1,1,1,0
ipRouteProto,1.3.6.1.2.1.4.21.1.9,2,1,0,1,0
ipRouteAge,1.3.6.1.2.1.4.21.1.10,2,1,1,1,0
ipRouteMask,1.3.6.1.2.1.4.21.1.11,64,1,1,1,0
ipRouteMetric5,1.3.6.1.2.1.4.21.1.12,64,1,1,1,0
ipRouteInfo,1.3.6.1.2.1.4.21.1.13,6,1,0,1,0
ipNetToMediaTable,1.3.6.1.2.1.4.22,48,0,0,1,0
ipNetToMediaEntry,1.3.6.1.2.1.4.22.1,48,0,0,1,0
ipNetToMediaIfIndex,1.3.6.1.2.1.4.22.1.1,2,1,1,1,1
ipNetToMediaPhsAddress,1.3.6.1.2.1.4.22.1.2,4,1,1,1,0
ipNetToMediaNetAddress,1.3.6.1.2.1.4.22.1.3,64,1,1,1,1
ipNetToMediaType,1.3.6.1.2.1.4.22.1.4,2,1,1,1,0
ipRoutingDiscards,1.3.6.1.2.1.4.23,65,1,0,1,0
icmp,1.3.6.1.2.1.5,48,0,0,1,0
icmpInMsgs,1.3.6.1.2.1.5.1,65,1,0,1,0
icmpInErrors,1.3.6.1.2.1.5.2,65,1,0,1,0
icmpInDestUnreachs,1.3.6.1.2.1.5.3,65,1,0,1,0
icmpInTimeExcds,1.3.6.1.2.1.5.4,65,1,0,1,0
icmpInParmProbs,1.3.6.1.2.1.5.5,65,1,0,1,0
icmpInSrcQuenchs,1.3.6.1.2.1.5.6,65,1,0,1,0
icmpInRedirects,1.3.6.1.2.1.5.7,65,1,0,1,0
icmpInEchos,1.3.6.1.2.1.5.8,65,1,0,1,0
icmpInEchoReps,1.3.6.1.2.1.5.9,65,1,0,1,0
icmpInTimestamps,1.3.6.1.2.1.5.10,65,1,0,1,0
icmpInTimestampReps,1.3.6.1.2.1.5.11,65,1,0,1,0
icmpInAddrMasks,1.3.6.1.2.1.5.12,65,1,0,1,0
icmpInAddrMaskReps,1.3.6.1.2.1.5.13,65,1,0,1,0
icmpOutMsgs,1.3.6.1.2.1.5.14,65,1,0,1,0
icmpOutErrors,1.3.6.1.2.1.5.15,65,1,0,1,0
icmpOutDestUnreachs,1.3.6.1.2.1.5.16,65,1,0,1,0
icmpOutTimeExcds,1.3.6.1.2.1.5.17,65,1,0,1,0
icmpOutParmProbs,1.3.6.1.2.1.5.18,65,1,0,1,0
icmpOutSrcQuenchs,1.3.6.1.2.1.5.19,65,1,0,1,0
icmpOutRedirects,1.3.6.1.2.1.5.20,65,1,0,1,0
icmpOutEchos,1.3.6.1.2.1.5.21,65,1,0,1,0
icmpOutEchoReps,1.3.6.1.2.1.5.22,65,1,0,1,0
icmpOutTimestamps,1.3.6.1.2.1.5.23,65,1,0,1,0
icmpOutTimestampReps,1.3.6.1.2.1.5.24,65,1,0,1,0
icmpOutAddrMasks,1.3.6.1.2.1.5.25,65,1,0,1,0
icmpOutAddrMaskReps,1.3.6.1.2.1.5.26,65,1,0,1,0
tcp,1.3.6.1.2.1.6,48,0,0,1,0
tcpRtoAlgorithm,1.3.6.1.2.1.6.1,2,1,0,1,0
tcpRtoMin,1.3.6.1.2.1.6.2,2,1,0,1,0
tcpRtoMax,1.3.6.1.2.1.6.3,2,1,0,1,0
tcpMaxConn,1.3.6.1.2.1.6.4,2,1,0,1,0
tcpActiveOpens,1.3.6.1.2.1.6.5,65,1,0,1,0
tcpPassiveOpens,1.3.6.1.2.1.6.6,65,1,0,1,0
tcpAttemptFails,1.3.6.1.2.1.6.7,65,1,0,1,0
tcpEstabResets,1.3.6.1.2.1.6.8,65,1,0,1,0
tcpCurrEstab,1.3.6.1.2.1.6.9,66,1,0,1,0
tcpInSegs,1.3.6.1.2.1.6.10,65,1,0,1,0
tcpOutSegs,1.3.6.1.2.1.6.11,65,1,0,1,0
tcpRetransSegs,1.3.6.1.2.1.6.12,65,1,0,1,0
tcpConnTable,1.3.6.1.2.1.6.13,48,0,0,1,0
tcpConnEntry,1.3.6.1.2.1.6.13.1,48,0,0,1,0
tcpConnState,1.3.6.1.2.1.6.13.1.1,2,1,1,1,0
tcpConnLocalAddress,1.3.6.1.2.1.6.13.1.2,64,1,0,1,1
tcpConnLocalPort,1.3.6.1.2.1.6.13.1.3,2,1,0,1,1
tcpConnRemAddress,1.3.6.1.2.1.6.13.1.4,64,1,0,1,1
tcpConnRemPort,1.3.6.1.2.1.6.13.1.5,2,1,0,1,1
tcpInErrs,1.3.6.1.2.1.6.14,65,1,0,1,0
tcpOutRsts,1.3.6.1.2.1.6.15,65,1,0,1,0
udp,1.3.6.1.2.1.7,48,0,0,1,0
udpInDatagrams,1.3.6.1.2.1.7.1,65,1,0,1,0
udpNoPorts,1.3.6.1.2.1.7.2,65,1,0,1,0
udpInErrors,1.3.6.1.2.1.7.3,65,1,0,1,0
udpOutDatagrams,1.3.6.1.2.1.7.4,65,1,0,1,0
udpTable,1.3.6.1.2.1.7.5,48,0,0,1,0
udpEntry,1.3.6.1.2.1.7.5.1,48,0,0,1,0
udpLocalAddress,1.3.6.1.2.1.7.5.1.1,64,1,0,1,1
udpLocalPort,1.3.6.1.2.1.7.5.1.2,2,1,0,1,1
egp,1.3.6.1.2.1.8,48,0,0,1,0
egpInMsgs,1.3.6.1.2.1.8.1,65,1,0,1,0
egpInErrors,1.3.6.1.2.1.8.2,65,1,0,1,0
egpOutMsgs,1.3.6.1.2.1.8.3,65,1,0,1,0
egpOutErrors,1.3.6.1.2.1.8.4,65,1,0,1,0
egpNeighTable,1.3.6.1.2.1.8.5,48,0,0,1,0
egpNeighEntry,1.3.6.1.2.1.8.5.1,48,0,0,1,0
egpNeighState,1.3.6.1.2.1.8.5.1.1,2,1,0,1,0
egpNeighAddr,1.3.6.1.2.1.8.5.1.2,64,1,0,1,1
egpNeighAs,1.3.6.1.2.1.8.5.1.3,2,1,0,1,0
egpNeighInMsgs,1.3.6.1.2.1.8.5.1.4,65,1,0,1,0
egpNeighInErrors,1.3.6.1.2.1.8.5.1.5,65,1,0,1,0
egpNeighOutMsgs,1.3.6.1.2.1.8.5.1.6,65,1,0,1,0
egpNeighOutErrors,1.3.6.1.2.1.8.5.1.7,65,1,0,1,0
egpNeighInErrMsgs,1.3.6.1.2.1.8.5.1.8,65,1,0,1,0
egpNeighOutErrMsgs,1.3.6.1.2.1.8.5.1.9,65,1,0,1,0
egpNeighStateUps,1.3.6.1.2.1.8.5.1.10,65,1,0,1,0
egpNeighStateDowns,1.3.6.1.2.1.8.5.1.11,65,1,0,1,0
egpNeighIntervalHello,1.3.6.1.2.1.8.5.1.12,2,1,0,1,0
egpNeighIntervalPol,1.3.6.1.2.1.8.5.1.13,2,1,0,1,0
egpNeighMode,1.3.6.1.2.1.8.5.1.14,2,1,0,1,0
egpNeighEventTrigger,1.3.6.1.2.1.8.5.1.15,2,1,1,1,0
egpAs,1.3.6.1.2.1.8.6,2,1,0,1,0
transmission,1.3.6.1.2.1.10,48,0,0,1,0
snmp,1.3.6.1.2.1.11,48,0,0,1,0
snmpInPkts,1.3.6.1.2.1.11.1,65,1,0,1,0
snmpOutPkts,1.3.6.1.2.1.11.2,65,1,0,1,0
snmpInBadVersions,1.3.6.1.2.1.11.3,65,1,0,1,0
snmpInBadCommunityNames,1.3.6.1.2.1.11.4,65,1,0,1,0
snmpInBadCommunityUses,1.3.6.1.2.1.11.5,65,1,0,1,0
snmpInASNParseErrs,1.3.6.1.2.1.11.6,65,1,0,1,0
snmpInTooBigs,1.3.6.1.2.1.11.8,65,1,0,1,0
snmpInNoSuchNames,1.3.6.1.2.1.11.9,65,1,0,1,0
snmpInBadValues,1.3.6.1.2.1.11.10,65,1,0,1,0
snmpInReadOnlys,1.3.6.1.2.1.11.11,65,1,0,1,0
snmpInGenErrs,1.3.6.1.2.1.11.12,65,1,0,1,0
snmpInTotalReqVars,1.3.6.1.2.1.11.13,65,1,0,1,0
snmpInTotalSetVars,1.3.6.1.2.1.11.14,65,1,0,1,0
snmpInGetRequests,1.3.6.1.2.1.11.15,65,1,0,1,0
snmpInGetNexts,1.3.6.1.2.1.11.16,65,1,0,1,0
snmpInSetRequests,1.3.6.1.2.1.11.17,65,1,0,1,0
snmpInGetResponses,1.3.6.1.2.1.11.18,65,1,0,1,0
snmpInTraps,1.3.6.1.2.1.11.19,65,1,0,1,0
snmpOutTooBigs,1.3.6.1.2.1.11.20,65,1,0,1,0
snmpOutNoSuchNames,1.3.6.1.2.1.11.21,65,1,0,1,0
snmpOutBadValues,1.3.6.1.2.1.11.22,65,1,0,1,0
snmpOutGenErrs,1.3.6.1.2.1.11.24,65,1,0,1,0
snmpOutGetRequests,1.3.6.1.2.1.11.25,65,1,0,1,0
snmpOutGetNexts,1.3.6.1.2.1.11.26,65,1,0,1,0
snmpOutSetRequests,1.3.6.1.2.1.11.27,65,1,0,1,0
snmpOutGetResponses,1.3.6.1.2.1.11.28,65,1,0,1,0
snmpOutTraps,1.3.6.1.2.1.11.29,65,1,0,1,0
snmpEnableAuthenTraps,1.3.6.1.2.1.11.30,2,1,1,1,0
